LotFrontage,LotArea,LotShape,LandSlope,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,ExterQual,ExterCond,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageYrBlt,GarageFinish,GarageCars,GarageArea,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,ScreenPorch,TotalSF,TotalBaths,TotalPorchSF,HouseAge,RemodAge,IsRemodeled,HasGarage,HasFireplace,MSZoning_RL,MSZoning_RM,MSZoning_C (all),LotConfig_Corner,LotConfig_CulDSac,LandContour_Lvl,Neighborhood_NridgHt,Neighborhood_Crawfor,Neighborhood_NAmes,Neighborhood_Edwards,Neighborhood_IDOTRR,Neighborhood_OldTown,Condition1_Artery,BldgType_1Fam,HouseStyle_2Story,HouseStyle_1.5Fin,RoofStyle_Gable,RoofStyle_Hip,Exterior1st_VinylSd,Exterior1st_Wd Sdng,Exterior1st_BrkComm,Exterior2nd_VinylSd,Exterior2nd_Brk Cmn,MasVnrType_BrkFace,Foundation_CBlock,Foundation_PConc,Foundation_BrkTil,CentralAir_Y,CentralAir_N,Electrical_SBrkr,GarageType_Detchd,GarageType_Attchd,SaleType_WD,SaleCondition_Normal,SaleCondition_Abnorml,SaleCondition_Family,MSSubClass_30,MSSubClass_20,MoSold_8,MoSold_6,MoSold_3,MoSold_7,MoSold_2,MoSold_12,MoSold_11,YrSold_2007,YrSold_2009,YrSold_2008,YrSold_2010,YrSold_2006
70.0,8400,4,3,6,5,1966,1966,0.0,3,3,3,3,4,2,187,3,627,0,814,4,913,0,913,1,1,0,3,3,6,8,0,0,1990.0,1,1,240,2,0,0,252,0,1727,2.0,252,41,41,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
44.0,4224,4,3,5,5,1976,1976,0.0,3,3,4,3,1,5,874,1,0,268,1142,3,1142,0,1142,1,1,1,3,3,6,8,1,1,1976.0,3,2,528,2,536,90,0,0,2284,2.5,90,31,31,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
60.0,8400,4,3,2,5,1920,1950,0.0,3,3,3,2,1,3,290,1,0,0,290,3,438,0,438,0,1,0,1,2,3,8,0,0,1930.0,1,1,246,0,0,0,0,0,728,1.0,0,89,59,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
93.0,11999,4,3,8,5,2003,2004,340.0,4,3,4,3,1,1,0,1,0,1181,1181,5,1234,1140,2374,0,2,1,4,5,10,8,1,4,2003.0,3,3,656,2,104,100,0,0,3555,2.5,100,4,3,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
70.0,4426,4,3,6,5,2004,2004,147.0,4,3,4,3,4,6,697,1,0,151,848,5,848,0,848,1,1,0,1,4,3,8,1,3,2004.0,2,2,420,2,149,0,0,0,1696,2.0,0,4,4,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
103.0,13472,4,3,10,5,2003,2003,922.0,5,3,5,3,4,6,56,1,0,2336,2392,5,2392,0,2392,0,2,0,3,5,8,8,1,5,2003.0,3,3,968,2,248,105,0,0,4784,2.0,105,6,6,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
72.0,21000,4,3,6,5,1953,1953,184.0,3,4,4,3,2,5,35,3,869,905,1809,3,2259,0,2259,1,2,0,3,4,7,8,2,4,1953.0,1,2,450,2,166,120,192,0,4068,3.0,312,54,54,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
85.0,14601,4,3,9,5,2006,2006,584.0,5,3,5,3,3,6,1260,1,0,578,1838,5,1838,0,1838,1,2,0,2,5,8,8,1,4,2006.0,3,3,765,2,270,68,0,0,3676,3.0,68,3,3,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
60.0,7200,4,3,5,5,1950,1950,0.0,3,3,0,0,0,0,0,0,0,0,0,4,1048,0,1048,0,1,0,3,3,7,7,0,0,1950.0,1,2,420,2,0,27,0,0,1048,1.0,27,58,58,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
84.0,12615,4,3,6,7,1950,2001,0.0,3,3,3,4,3,5,477,1,0,725,1202,3,2158,0,2158,1,2,0,4,4,7,8,1,4,1950.0,1,2,576,2,0,29,39,0,3360,3.0,68,57,6,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
21.0,2665,4,3,5,6,1976,1976,0.0,3,3,4,3,2,1,0,1,0,264,264,3,616,688,1304,0,1,1,3,3,4,8,1,4,1976.0,3,1,336,2,141,24,0,0,1568,1.5,24,32,32,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
63.0,8000,4,3,6,5,1995,1996,0.0,3,3,4,3,1,6,219,1,0,554,773,4,773,885,1658,1,2,1,3,3,8,8,1,3,1995.0,3,2,431,2,224,84,0,0,2431,3.5,84,13,12,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
60.0,12180,4,3,4,4,1941,1950,0.0,3,2,4,3,1,4,348,1,0,324,672,2,672,252,924,1,1,0,2,2,5,8,0,0,1941.0,1,1,280,2,0,0,0,0,1596,2.0,0,69,60,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
60.0,7200,4,3,5,8,1972,2003,0.0,3,4,4,3,3,6,660,1,0,108,768,4,768,0,768,0,1,0,2,3,5,8,0,0,1974.0,3,1,396,2,192,0,0,0,1536,1.5,0,37,6,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
50.0,8012,4,3,6,5,1993,1994,0.0,4,3,4,3,1,2,165,6,841,598,1604,5,1617,0,1617,1,2,0,2,4,5,8,1,2,1993.0,2,2,533,2,0,69,0,0,3221,3.0,69,15,14,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
65.0,7800,4,3,5,7,1967,2004,89.0,3,3,3,3,1,5,450,1,0,414,864,5,899,0,899,0,1,0,3,4,5,8,0,0,1967.0,3,1,288,2,64,0,0,0,1763,1.0,0,42,5,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
70.0,4426,4,3,6,5,2004,2004,147.0,4,3,4,3,3,6,697,1,0,151,848,5,848,0,848,1,1,0,1,4,3,8,1,3,2004.0,2,2,420,2,149,0,0,0,1696,2.0,0,4,4,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
80.0,11316,4,3,7,5,2002,2003,44.0,4,3,4,3,1,6,624,1,0,193,817,5,824,1070,1894,1,2,1,4,4,8,8,1,4,2002.0,3,2,510,2,0,40,0,0,2711,3.5,40,8,7,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
50.0,6000,4,3,6,6,1939,1950,0.0,3,2,3,3,1,1,0,1,0,780,780,5,825,587,1412,0,1,0,4,3,6,8,1,4,1939.0,1,1,280,2,45,0,0,0,2192,1.0,0,70,59,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
71.0,8544,3,3,5,6,1966,2006,0.0,3,3,3,3,1,1,0,1,0,1228,1228,4,1228,0,1228,0,1,1,3,4,6,8,0,0,1966.0,1,1,271,2,0,65,0,0,2456,1.5,65,42,2,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
43.0,13568,2,3,5,5,1995,1995,0.0,3,3,4,3,1,5,716,1,0,274,990,5,990,0,990,0,1,0,3,3,5,8,0,0,1996.0,1,2,576,2,224,0,0,0,1980,1.5,0,11,11,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
70.0,9286,3,2,5,7,1977,1989,0.0,3,3,4,4,3,5,196,1,0,1072,1268,3,1268,0,1268,0,1,1,3,4,5,8,0,0,1978.0,1,1,252,2,173,0,0,0,2536,1.5,0,32,20,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
45.0,8248,4,3,3,3,1914,1950,0.0,3,3,3,3,1,4,41,1,0,823,864,3,864,0,864,1,1,0,2,3,5,8,0,0,0.0,0,0,0,0,0,0,100,0,1728,2.0,100,94,58,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
60.0,7200,4,3,5,6,1938,1995,0.0,3,3,3,3,1,1,0,1,0,803,803,5,803,557,1360,0,1,1,2,4,6,8,0,0,1951.0,1,1,297,2,0,65,190,0,2163,1.5,255,68,11,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
80.0,9600,4,3,6,8,1950,2005,0.0,3,4,3,3,1,4,120,1,0,736,856,5,1112,556,1668,0,1,1,3,3,6,6,0,0,1950.0,1,1,271,2,0,0,0,0,2524,1.5,0,59,4,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
40.0,4400,4,3,6,8,1920,1950,0.0,3,3,2,3,1,1,0,1,0,648,648,3,734,384,1118,0,1,0,2,3,6,8,0,0,1990.0,1,2,440,2,0,0,0,0,1766,1.0,0,86,56,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
70.0,10570,4,2,8,8,1932,1994,0.0,4,3,4,4,1,3,297,1,0,556,853,3,1549,1178,2727,0,2,1,3,4,10,4,2,3,1932.0,1,2,440,2,0,74,0,0,3580,2.5,74,75,13,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
50.0,6000,4,3,4,7,1954,2000,0.0,3,3,3,3,1,1,0,1,0,901,901,5,901,0,901,0,1,0,2,3,4,8,0,0,1954.0,1,1,281,2,0,0,0,0,1802,1.0,0,54,8,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
